device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,8,32.97,15.68,93986.08,146704,1,1,4470363
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,8,32.83,15.61,93976.77,125829,1,1,4470374
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,9,30.19,18.04,93942.91,194123,1,1,4477746
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,9,30.75,17.71,93963.28,115680,1,1,4477748
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,9,31.51,16.52,93963.64,51519,1,1,4477750
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,9,31.67,16.39,93990.48,106246,1,1,4477771
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,9,32.84,15.76,93965.34,260294,1,1,4477783
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,9,32.17,16.82,93981.73,605022,1,1,4477795
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,9,32.84,15.81,93985.65,685179,1,1,4477817
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,9,32.72,15.81,93975.12,573508,1,1,4477839
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,10,30.23,17.96,93944.73,197836,1,1,4485201
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,10,30.79,17.64,93965.53,118986,1,1,4485203
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,10,31.49,16.60,93961.89,109448,1,1,4485215
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,10,31.67,16.33,93989.48,108199,1,1,4485226
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,10,32.65,16.05,93962.51,53928,1,1,4485238
